5803	5491	6054
2320	846	3221
2195	6329	3976
9770	436	7927
4873	6833	4140
4852	4792	7355
10476	1541	6075
884	8635	10341
6887	1177	6517
4878	5939	34
5844	8901	4189
3850	6321	10289
2222	5493	4152
2358	5193	1375
6399	4068	1229
7405	5416	1147
10518	5333	950
2222	9235	9129
1946	556	1414
475	443	8613
3606	6640	6116
1314	10053	5136
6887	3873	9219
6887	751	980
988	358	1890
4878	4816	3788
5750	8957	7640
1946	2606	2945
2195	3295	11018
8180	4080	5100
6009	1484	4250
10604	6797	5196
6009	6534	6240
6887	9460	388
2976	8004	8788
5803	5670	8959
5750	8473	5559
746	1825	4253
2195	5630	6474
7573	9606	312
2195	6618	2421
10784	3857	4232
4791	8228	7120
6803	7123	3563
6399	10126	4765
5481	1593	10586
8450	2627	1548
7405	3722	2878
6887	11057	3258
7414	7543	9015
6887	10293	7595
5773	8285	6180
1230	3962	6061
7405	7624	2623
783	8898	7864
1963	2063	2935
2195	5688	1456
10884	9993	8457
7162	5264	2960
6399	9494	3113
1824	4648	1578
9969	3449	4411
2454	7582	8304
2976	7249	4846
1993	9295	10897
5750	4654	4286
3920	7507	2719
2349	4021	9105
4791	3082	10792
2569	6333	8543
2919	6176	5498
9399	4157	8574
2783	3026	7441
4873	10509	7145
10858	10653	1401
8831	3774	2848
6887	11044	5145
8976	8465	8536
746	4546	7164
1946	2482	3664
1946	587	5707
9260	9525	956
4873	5694	6878
5445	7271	221
452	1293	1931
6887	5130	3808
4873	4449	2281
2976	5600	119
6887	769	8784
5773	1193	467
2458	9764	3562
6399	6030	5451
5773	661	10021
1946	10403	2885
1963	7306	8575
10858	9872	2779
9729	830	1379
2195	297	10264
10784	1803	9674
10232	11031	6153
5844	5106	2363
8450	5901	1682
8438	2906	6299
10232	4747	7652
10334	2009	4203
1230	3400	4346
746	6084	4477
6399	5071	6683
191	1838	10001
4852	4792	1387
9120	768	7636
10727	1691	4336
1946	5959	6765
2294	3431	3705
2222	6232	1666
5559	2807	3499
3181	3990	10088
10604	3215	2995
1472	210	6008
5481	3983	5886
7444	10669	7459
4322	6457	4690
6312	3898	1164
8367	9899	9141
972	3072	10790
10518	6072	6271
2195	10877	5626
6887	8303	614
8164	3440	980
5590	9821	3092
9729	3281	8490
10354	1210	4106
2222	785	9332
1824	8454	5768
6740	2076	3482
1993	6953	10571
2195	5688	2939
1993	3052	4984
7444	3092	4555
5750	2340	1804
6616	722	6462
1946	7759	6721
3549	9082	6199
9399	10346	2385
1946	2162	2788
3549	8192	730
4852	4792	500
1946	6618	5100
6887	3046	3258
5844	10672	2456
7162	2705	10587
2919	4513	67
6887	5803	5573
4873	3742	5120
6364	148	7239
8979	1605	10585
2976	1721	1806
1946	2740	4449
3181	5937	2407
9300	769	2796
2569	10134	1560
1993	9710	4380
2919	3062	10808
6887	6084	6012
9865	10046	6527
4852	4792	10369
2195	7285	7196
1946	10507	1036
1946	9217	1153
6275	1056	6610
6740	4688	4208
9770	5933	383
5563	9494	4703
4747	3668	2269
3404	5679	3953
9260	10483	7305
5750	1572	10785
1393	2173	6335
9946	5845	851
7945	3421	4607
6740	6782	40
5057	6932	277
4488	955	569
9969	5959	10730
10789	6618	6520
6887	3700	6591
4852	4792	9772
5300	6046	3249
4852	2106	2073
10858	5817	4173
6364	3783	8744
5057	10629	9762
972	10987	10019
7405	6114	1892
5559	2678	10091
3913	4977	3664
191	9288	10003
4873	10504	6102
4852	4792	5945
8976	5587	8536
5445	1147	10676
4852	4875	6349
2222	7012	9972
9339	6700	3664
10348	8988	67
6399	1357	2399
5773	155	6164
1946	6891	9216
6887	8167	9089
2195	3377	1036
2993	1391	1422
9300	4977	9479
5605	8460	8624
10401	10971	6793
5844	9701	1640
4873	4810	2334
7974	457	6527
1824	8873	1897
5803	6867	3101
6887	5824	4422
10884	2502	10696
4852	4792	8069
1946	6500	8970
1946	4384	9465
9969	7603	10306
2919	1573	5462
8367	4446	9923
10518	3908	4847
1946	3187	9430
4873	602	2839
2454	9436	4953
9120	4364	1750
6740	7936	4827
4852	4792	3817
1946	173	3684
6887	4644	10758
5844	7593	1964
8736	10273	4729
160	6691	7411
9120	6419	9372
3733	1341	7385
2783	1136	537
7414	1666	8862
4852	4792	9836
972	9625	9441
10401	4769	7098
1012	7871	4402
7444	3285	6097
627	10133	6777
3543	4790	28
1946	3552	9132
6887	8540	8821
7162	3352	8289
4852	4792	1396
9300	6744	6572
1824	1055	3780
1946	7995	7694
1763	10092	10735
9946	7483	1168
2195	4778	2195
5559	4880	7756
4852	4792	1435
6740	7608	9037
4904	6577	10113
5559	5696	8356
10401	3109	8516
5750	9671	3499
746	9494	9056
5773	5566	882
2976	3040	7003
7162	5190	9261
4852	4792	2954
6887	6084	8124
244	8556	9964
5559	209	46
4878	1344	356
1946	612	339
5445	6087	9188
6887	3526	9213
1946	2045	6451
2919	7303	7454
6887	7728	1468
2875	9945	7043
8976	10045	916
7405	5369	398
4873	1136	8216
1824	9598	129
2195	10336	6838
1167	5230	3855
5456	3482	511
11016	1596	6254
3630	1682	6887
10889	7934	8331
6887	3583	2758
